online_order,book_table,rate,votes,location,cuisines,cost,menu_item
1,1,4.1,775,1,1386,800,5047
1,0,4.1,787,1,594,800,5047
1,0,3.8,918,1,484,800,5047
0,0,3.7,88,1,1587,300,5047
0,0,3.8,166,4,1406,600,5047
1,0,3.8,286,4,1156,600,5047
1,1,4.6,2556,1,1468,600,5047
1,0,4,324,1,462,700,5047
1,0,4.2,504,1,485,550,5047
1,0,4.1,402,1,332,500,5047
1,1,4.2,150,1,462,600,5047
1,1,4.2,164,1,380,500,5047
0,0,4,424,1,383,450,5047
1,0,3.8,918,1,484,800,5047
1,0,3.8,90,1,332,650,5047
1,0,3.9,133,1,441,800,5047
1,0,3.8,144,1,533,700,5047
0,0,3.9,93,1,456,300,5047
1,0,3,62,1,444,400,5047
1,0,3.7,180,1,496,500,5047
1,0,3.6,62,1,985,600,5047
0,0,3.8,148,4,1194,550,5047
1,0,4,219,4,455,600,5047
1,0,2.8,506,1,1332,500,5047
1,0,3.9,172,1,1465,750,5047
1,0,4.2,415,1,1190,500,1672
1,0,3.9,230,1,235,650,5047
1,0,4.2,1647,1,609,600,5047
1,0,4.4,4884,30,1402,750,5047
1,0,3.8,133,4,1636,200,5047
1,0,3.9,286,1,322,500,5047
1,0,3.9,540,1,1474,800,5047
1,1,4.6,2556,1,1468,600,5047
0,0,3.8,36,1,1314,400,5047
1,0,3.6,244,46,1196,300,165
1,0,4,804,46,1218,450,4709
1,0,3.7,679,63,604,850,5047
1,0,3.1,245,46,1257,300,4683
0,0,4.3,345,1,956,400,5047
1,0,4,618,30,288,750,5047
0,0,4,1047,1,980,450,5047
1,0,3.9,627,1,923,450,14
1,1,4.2,354,1,151,800,5047
0,0,4.2,244,1,1000,800,5047
1,1,3.6,163,46,915,800,5047
0,1,4,808,1,1196,850,5047
1,0,4.1,1720,4,1355,400,5047
0,0,4.1,868,1,704,1200,5047
0,0,4.1,520,1,248,300,5047
0,0,3.6,299,1,868,300,5047
1,0,4.1,558,4,1547,150,537
0,0,3.8,39,1,1563,350,5047
1,0,4.2,146,1,215,400,5047
1,0,4.4,4401,30,286,600,5047
0,0,2.6,283,1,1156,600,5047
0,0,3.3,62,1,1589,800,5047
0,0,3.7,65,1,873,300,5047
1,0,3.8,71,4,959,400,5047
0,0,3.5,52,1,1547,300,5047
0,0,3.7,130,1,1547,200,5047
0,0,3.8,45,1,175,400,5047
1,0,4.1,201,1,1597,300,3461
1,0,4,771,1,1589,450,4550
0,0,3,98,1,1196,800,5047
1,1,4.1,175,30,1591,500,2674
1,0,3.8,540,4,1353,650,5047
1,0,3.8,124,46,584,400,5047
1,0,4.1,340,1,1392,500,5047
1,0,3.8,505,1,322,450,5047
1,0,4.1,438,30,791,500,5047
1,0,3.7,264,54,1212,750,5047
1,0,3.7,97,30,1386,350,5047
1,0,3.6,195,30,597,800,5047
1,0,4.6,228,30,359,400,5047
1,1,4.1,364,30,1665,1200,5047
1,0,3.7,107,4,221,150,5047
1,0,3.2,167,46,1594,300,4178
1,0,4.2,64,4,1510,500,5047
1,0,3,290,1,1215,450,5047
1,0,4.1,233,4,1628,200,5047
1,0,3.8,115,46,863,250,5047
1,1,3.9,291,30,368,650,2748
1,0,4.5,155,30,228,300,5047
1,0,4.1,305,46,965,700,5047
1,0,3.9,38,1,949,150,5047
